shortnam,africa,lat_abst,rich4,avexpr,logpgp95,logem4,asia,loghjypl,baseco,catho80,muslim80,no_cpm80,f_brit,f_french,sjlofr,avelf,temp1,temp2,temp3,temp4,temp5,humid1,humid2,humid3,humid4,steplow,deslow,stepmid,desmid,drystep,drywint,edes1975,landlock,goldm,iron,silv,zinc,oilres,malfal94,yellow,leb95,imr95,meantemp,lt100km,latabs,euro1900,democ1,cons1,indtime,democ00a,cons00a,other,extmort4,mi_lat_abst,mi_avexpr,mi_logpgp95,mi_logem4,mi_loghjypl,mi_baseco,mi_catho80,mi_muslim80,mi_no_cpm80,mi_f_brit,mi_f_french,mi_sjlofr,mi_avelf,mi_temp1,mi_humid1,mi_steplow,mi_edes1975,mi_goldm,mi_oilres,mi_malfal94,mi_leb95,mi_imr95,mi_meantemp,mi_lt100km,mi_latabs,mi_euro1900,mi_democ1,mi_cons1,mi_indtime,mi_democ00a,mi_cons00a,mi_extmort4
HRV,0,.50111109,0,0,8.4184771,0,0,0,0,76.5,1.2,21.9,0,0,0,0,12,20,42,-25,8,71,85,46,76,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1
HTI,0,.21111111,0,3.7272727,7.1467724,4.8675346,0,-2.8647039,1,82.599998,0,4.6000013,0,1,1,.064404763,27,34,38,16,20,68,79,43,56,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,53.75,67.699997,26.58033,1,.21111099,0,0,1,175,0,1,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUN,0,.52222222,0,9,8.8098631,0,0,-1.1809075,0,53.900002,0,24.499998,0,0,0,.065079369,9,14,39,-23,8,71,88,47,81,0,0,0,0,0,0,100,1,0,0,0,0,14000,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
IDN,0,.055599999,0,7.590909,8.0709057,5.1357985,1,-2.2072749,1,2.7,43.400002,49.099998,0,0,1,.74219751,28,33,37,19,21,90,95,61,75,0,0,0,0,0,0,0,0,0,0,0,0,29700,.17873,1,65.129997,48.400002,26.799999,.74576002,.055555999,0,0,1,50,0,1,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IND,0,.22220001,0,8.272727,7.3260002,3.8842406,1,-2.453408,1,1.3,11.6,86,1,0,0,.69056785,24,28,46,-1,22,35,80,19,64,1,0,0,0,0,0,0,0,0,5,0,7,6750,.23596001,0,62.59,72.300003,25.9,.156776,.222222,0,9,7,45,0,1,0,48.630001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IRL,0,.58888888,0,9.727273,9.7693844,0,0,-.54991299,0,95.300003,0,3.599997,1,0,0,.09035714,9,14,30,-12,3,75,88,75,88,0,0,0,0,0,0,100,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
IRN,0,.35555556,0,4.7727275,8.6052036,0,1,-1.22078,0,.1,97.900002,1.9999985,0,0,1,0,15,18,43,-21,15,47,77,39,75,1,1,0,0,0,0,0,0,0,0,0,1,1470,.119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
IRQ,0,.36666667,0,1.6363636,0,0,1,0,0,1.8,95.800003,2.399997,1,0,1,0,21,25,49,-8,18,32,84,12,52,1,0,0,0,0,0,0,0,0,0,0,0,5020000,.0072799996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
ISL,0,.72222221,0,9.727273,9.9436693,0,0,-.31471071,0,.69999999,0,2.7000015,0,0,0,.1,5,10,23,-17,1,75,83,67,80,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
ISR,0,.34777778,0,8.545455,9.7841406,0,1,-.41703176,0,1,8,90.800003,1,0,0,.32705572,20,25,42,-3,11,47,77,32,66,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
ITA,0,.47222221,0,9.454545,9.8979721,0,0,-.18152189,0,83.199997,.1,16.300003,0,0,1,.038868155,17,19,40,-6,12,70,87,42,70,0,0,0,0,0,0,100,0,0,0,0,0,12900,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
JAM,0,.20166667,0,7.090909,8.1886892,4.8675346,0,-2.040221,1,9.6000004,.1,34.799999,1,0,0,.0125,26,33,36,14,20,77,88,61,73,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,74.82,21.9,26.5,1,.201667,1.9,10,7,36,0,1,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JOR,0,.34444445,0,6.7727275,8.1718817,0,1,-.87707001,0,1.7,93,5,1,0,1,.029719381,19,24,43,-6,13,39,80,28,56,0,1,0,0,0,0,0,0,0,0,0,0,899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
JPN,0,.40000001,0,9.727273,10.034077,0,1,-.53273046,0,.60000002,0,98.5,0,0,0,.0098802773,15,22,38,-8,16,71,92,48,69,0,0,0,0,0,0,0,0,0,0,0,3,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
KAZ,0,.53333336,0,0,8.1315308,0,1,0,0,3,47,48,0,0,0,0,5,5,42,-33,10,58,91,34,80,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
KEN,1,.011111111,0,6.0454545,7.0561752,4.9767337,0,-2.8824036,1,26.4,6,48.300003,1,0,0,.82696486,18,26,31,5,11,74,89,40,62,1,1,0,0,0,0,0,0,0,0,0,0,0,.79799998,1,52.040001,65.5,22.6,.082503997,.011111,0,5,5,32,0,1,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KGZ,0,.45555556,0,0,7.5755849,0,1,0,0,0,70,30,0,0,0,0,2,12,38,-34,7,65,87,39,72,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
KOR,0,.41111112,0,8.636364,9.4157276,4.7706847,1,-.96758401,0,3.9000001,0,83.900002,0,0,0,0,11,12,37,-24,14,77,91,46,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0
KWT,0,.32555553,0,7.0454545,9.8036671,0,1,0,0,2.0999999,95.099998,2.7000017,1,0,1,0,25,26,48,1,26,45,77,41,65,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
LAO,0,.2,0,0,7.0900769,4.9416423,1,0,0,.80000001,1,98,0,1,1,.25,26,33,40,4,21,71,87,71,87,0,0,0,0,0,0,0,1,0,0,0,0,0,.86300004,1,0,0,0,0,0,0,8,5,37,0,1,0,140,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
LBR,1,.07,0,3.6363637,0,6.1800165,0,0,0,1.9,21.200001,58.299999,0,0,0,.80305529,25,29,34,13,20,87,95,76,86,0,0,0,0,0,0,0,0,0,.80000001,0,0,0,.94999999,1,0,0,0,0,0,0,7,7,148,1,4,0,483,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
LBY,1,.27777779,0,5.2727275,0,0,0,0,0,.2,98.099998,1.6000016,0,0,1,.12140572,24,28,46,1,17,54,72,53,72,0,1,0,0,0,0,0,0,0,0,0,0,4500000,0,0,0,0,0,0,0,0,0,3,44,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1
LKA,0,.077777781,0,6.0454545,7.7319307,4.2456341,1,-1.8643302,1,6.8000002,7.1999998,85.599998,1,0,0,.32574692,27,31,36,15,22,71,80,66,78,0,0,0,0,0,0,0,0,0,0,0,0,0,.138,1,73.110001,17.6,27.6,.99361998,.077777997,0,7,7,47,0,1,0,69.800003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSO,1,.32555553,0,0,7.3065314,0,0,-2.7646205,0,43.5,0,26.700001,1,0,0,.2097619,16,23,38,-9,6,51,75,25,42,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,9,7,29,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1
LTU,0,.62222224,0,0,8.2374792,0,0,0,0,80,0,0,0,0,0,0,5,7,33,-33,5,70,91,58,89,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
LUX,0,.54944444,0,10,10.28875,0,0,-.014098923,0,93,0,5.8000002,0,0,1,.21666667,9,11,37,-20,5,85,95,58,91,0,0,0,0,0,0,100,1,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
LVA,0,.63333333,0,0,8.154788,0,0,0,0,18.200001,.0099999998,67.690002,0,0,0,0,4,7,33,-33,5,70,91,58,89,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
MAR,1,.35555556,0,7.090909,8.0423784,4.3592696,0,-1.6766466,1,.2,99.400002,.39999849,0,1,1,.34797192,24,27,48,0,12,87,92,59,72,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,66.639999,51,18.5,.36785799,.35555601,1,1,1,195,1,1,0,78.199997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDA,0,.52222222,0,0,7.377759,0,0,0,0,0,0,100,0,0,0,0,10,8,35,-25,9,69,92,50,84,0,0,0,0,0,0,100,1,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
MDG,1,.22222222,0,4.4545455,6.8351846,6.2842088,0,-3.1941831,1,26,1.7,50.299999,0,1,1,.062748641,18,27,35,1,12,85,94,49,71,1,0,0,0,0,0,0,0,0,0,0,0,0,.94999999,1,57.509998,82.5,23.299999,.57096398,.222222,0,3,4,35,0,1,0,536.03998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,0,.25555557,0,7.5,8.9437675,4.2626801,0,-.83701754,1,94.699997,0,4.1000032,0,0,1,.17407407,16,23,32,-3,9,66,86,26,54,0,1,0,0,0,0,15.000001,0,0,0,13,4,570000,.00042,1,72.18,31,19,.37255001,.25555599,15.000001,1,3,173,0,1,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MKD,0,.4611111,0,0,8.0614872,0,0,0,0,.5,30.1,68.400002,0,0,0,0,10,20,41,-22,7,70,94,46,76,0,0,0,0,0,0,100,1,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
MLI,1,.18888889,0,4,6.5652652,7.986165,0,-3.3524072,1,.69999999,80,19.1,0,1,1,.80856913,29,36,47,8,19,33,94,18,73,0,1,0,0,1,0,0,1,0,0,0,0,0,.94050002,1,53.299999,118,29.299999,0,.188889,0,0,3,35,0,1,0,2940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MLT,0,.39444444,0,7.2272725,9.427063,2.7911651,0,-.77002823,1,97.300003,0,2.1999969,1,0,1,.10333333,23,22,40,5,18,71,78,59,68,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16.299999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
MMR,0,.24444444,0,5.7727275,0,3.5438535,1,-3.5404594,0,.89999998,3.5999999,92.300003,1,0,0,.38396853,28,34,41,13,22,71,89,52,88,0,0,0,0,0,0,0,0,0,0,0,0,0,.65436,1,0,0,0,0,0,0,8,7,47,0,1,0,34.599998,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
MNG,0,.51111114,0,7.3636365,7.2997975,0,1,0,0,0,1.4,98.599998,0,0,0,.073743872,-4,-6,36,-44,1,64,88,40,75,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
MOZ,1,.20166667,0,6.5,6.4614682,0,0,-3.2441936,0,31.4,13,48.799999,0,0,1,.78633273,27,34,46,7,17,65,75,57,67,1,0,0,0,0,0,3,0,0,0,0,0,0,.94999999,1,0,0,0,0,0,2.5,0,2,20,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1
MRT,1,.22222222,0,0,7.4145727,5.6347895,0,-2.9957323,0,.30000001,99.400002,.29999846,0,1,1,.27000001,27,36,46,7,22,51,88,30,69,0,1,0,0,0,0,0,0,0,0,0,0,0,.75999999,1,0,0,0,0,0,0,2,5,35,0,1,0,280,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
MUS,1,.22411111,0,0,9.0536861,3.4177268,0,-1.3394108,0,31.200001,16.4,51.5,1,0,1,.70848483,23,27,35,10,18,80,90,56,74,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,5,9,7,27,0,1,0,30.5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
MWI,1,.14777778,0,6.818182,6.4614682,0,0,-3.5065579,0,27.6,16.200001,24.699999,1,0,0,.6224373,19,28,34,-1,13,50,89,28,66,0,0,0,0,0,0,0,0,0,0,0,0,0,.94999999,1,0,0,0,0,0,2.7,0,1,31,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1
MYS,0,.025555555,0,7.9545455,8.8942585,2.8735647,1,-1.3205067,1,2.8,49.400002,46.399998,1,0,0,.6103704,28,35,37,18,21,95,97,58,66,0,0,0,0,0,0,0,0,0,0,0,0,192000,.23331,1,72,11.4,26.700001,.79440701,.025556,0,10,7,38,0,1,0,17.700001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAM,1,.24444444,0,0,8.5151911,0,0,-1.6398971,0,19.1,0,16.700003,1,0,0,.72833335,18,25,36,-4,9,27,62,11,35,1,1,0,0,0,0,0,0,0,0,0,0,0,.57950002,1,0,0,0,0,0,0,9,3,5,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1
NER,1,.17777778,0,5,6.7334018,5.9914646,0,-3.5404594,1,.2,87.900002,11.899999,0,1,1,.73291427,29,38,46,8,19,26,91,11,68,0,1,0,0,0,0,0,1,0,0,0,0,0,.94050002,1,48.5,115,28.4,0,.17777801,0,0,3,37,0,1,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NGA,1,.11111111,0,5.5454545,6.8134446,7.6029005,0,-3.0365543,1,12.1,45,27.099998,1,0,0,.856709,28,34,40,16,21,81,87,65,80,1,0,0,0,1,0,0,0,0,0,0,0,168000,.94999999,1,50.080002,81.099998,26.65065,.097769,.111111,0,8,7,35,0,1,0,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIC,0,.14444445,0,5.2272725,7.544332,5.0955892,0,-2.0714734,1,94.699997,0,.90000296,0,0,1,.099179566,27,31,34,20,23,80,92,44,70,0,0,0,0,0,0,20,0,0,0,0,0,0,.044,1,67.860001,43.400002,26.633329,.63268602,.144445,20,1,1,157,1,1,0,163.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NLD,0,.58111107,0,10,9.896966,0,0,-.21567154,0,42.599998,1,14.000004,0,0,1,.063435376,9,15,34,-20,6,78,89,65,85,0,0,0,0,0,0,100,0,0,0,0,0,9460,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
NOR,0,.68888891,0,9.954545,10.023933,0,0,-.2757535,0,.30000001,.1,1.8000046,0,0,0,.069883719,5,11,34,-26,4,68,88,52,85,0,0,0,0,0,0,100,0,0,0,0,0,2040000,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
NPL,0,.31111112,0,0,6.937314,0,1,0,0,0,3,97,1,0,0,.44999999,17,24,36,-2,18,68,90,53,84,0,0,0,0,0,0,0,1,0,0,0,0,0,.048,1,0,0,0,0,0,0,1,1,195,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1
NZL,0,.45555556,1,9.727273,9.7561474,2.1459312,0,-.33267942,1,18.700001,0,43.399998,1,0,0,.14756992,15,19,31,-2,5,73,81,67,78,0,0,0,0,0,0,91.699997,0,0,0,0,0,48300,0,0,76.900002,6.8000002,12.8,.95948797,.45555601,93,10,7,138,10,7,1,8.5500002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OMN,0,.23333333,0,7.1363635,9.2083387,0,1,-.85802186,0,.1,98.900002,.89999849,0,0,1,0,29,31,47,11,26,58,82,60,80,0,0,0,0,0,0,0,0,0,0,0,0,2670000,.63382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
PAK,0,.33333334,0,6.0454545,7.3524413,3.6106477,1,-2.0557249,1,.5,96.800003,1.899997,1,0,0,.62155986,22,24,48,-4,17,19,54,19,54,1,1,0,0,0,0,0,0,0,0,0,0,3220,.53757,1,63.950001,74.099998,23.5,.094195999,.33333299,0,1,1,48,0,1,0,36.990002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAN,0,.1,0,5.909091,8.8363743,5.0955892,0,-1.5005835,1,85,4.5,5.3000002,0,0,1,.19083333,27,34,36,17,21,81,91,78,92,0,0,0,0,0,0,20,0,0,0,0,0,0,.08004,1,73.599998,21.4,27.5,1,.1,20,0,3,92,0,1,0,163.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PER,0,.11111111,0,5.7727275,8.3961544,4.2626801,0,-1.4396951,1,95.099998,0,2.2000015,0,0,1,.43159091,22,26,34,9,16,92,95,64,80,0,1,0,0,0,0,30.000002,0,0,0,9,5,16600,.00050000002,0,68.32,45,20.5,.173208,.111111,30.000002,1,1,174,4,3,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PHL,0,.14444445,0,5.4545455,8.0986433,0,1,-2.0714734,0,84.099998,4.3000002,7.8000011,0,0,1,.72382069,27,34,38,14,22,85,93,55,74,0,0,0,0,0,0,1,0,0,0,0,0,2220,.61699998,0,0,0,0,0,0,1,6,3,60,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1
PNG,0,.06666667,0,7.2727275,0,5.1357985,1,-2.5510464,0,32.799999,0,8.7999992,1,0,0,.80272728,28,32,37,18,21,72,78,69,78,0,0,0,0,0,0,0,0,0,0,0,0,81500,.60987997,0,0,0,0,0,0,0,10,7,19,0,1,0,170,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
POL,0,.5777778,0,7.681818,8.6552143,0,0,-1.4354845,0,81,0,18.9,0,0,0,.039049234,7,11,35,-29,7,80,93,56,87,0,0,0,0,0,0,100,0,0,0,0,2,1100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
PRK,0,.44444445,0,0,0,0,0,0,0,0,0,100,0,0,0,0,9,-3,29,-13,20,63,80,63,80,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
PRT,0,.43666667,0,9.181818,9.4894857,0,0,-1.0051219,0,94.099998,0,4.8000016,0,0,1,.0024999999,20,21,40,-1,13,62,85,48,72,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
PRY,0,.25555557,0,6.9545455,8.2079468,4.3579903,0,-1.7719568,1,96,0,2.0999999,0,0,1,.41111112,22,37,43,-2,12,73,89,48,62,0,0,0,0,0,0,25,1,0,0,0,0,0,0,0,69.610001,39.200001,23,0,.25555599,25,0,1,184,1,2,0,78.099998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QAT,0,.28111109,0,7.7272725,9.6853313,0,1,0,0,1.2,92.400002,5.4999986,1,0,1,0,26,29,48,3,23,61,82,59,65,0,0,0,0,0,0,0,0,0,0,0,0,7630000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
ROM,0,.51111114,0,7.2727275,8.387085,0,0,-2.1803675,0,4.9000001,1.2,88.099998,0,0,0,.12204424,8,16,41,-32,8,58,89,58,89,0,0,0,0,0,0,100,0,0,0,0,0,68000,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
RUS,0,.66666669,0,8.454545,8.4051437,0,0,-.87466908,0,1.4,11.3,87.300003,0,0,0,0,3,2,32,-32,5,58,87,43,83,0,0,1,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1
RWA,1,.022222223,0,0,6.4769726,5.6347895,0,-3.1465552,0,55.599998,8.6000004,24.200001,0,0,1,.060862068,20,24,27,12,14,59,83,59,83,0,0,0,0,0,0,0,1,0,0,0,0,0,.94999999,1,0,0,0,0,0,0,1,1,34,0,1,0,280,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
SAU,0,.27777779,0,7.590909,9.2398996,0,1,-.638659,0,.1,98.800003,.99999696,0,0,0,0,23,30,45,-7,19,33,65,19,44,0,1,0,0,0,0,0,0,0,0,0,0,15700000,.10494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
SDN,1,.16666667,0,4,7.3065314,4.4796071,0,-2.7030625,1,4.4000001,73,22.5,1,0,0,.51218003,29,40,48,5,19,18,67,10,41,0,1,0,0,1,0,0,0,0,0,0,0,10900,.93099999,1,54.970001,70.900002,28.5,.023229999,.166667,0,8,7,41,0,1,0,88.199997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEN,1,.15555556,0,6,7.4024515,5.1038828,0,-2.6310892,1,5.5999999,91,3.3000002,0,1,1,.7788682,28,35,43,12,21,70,88,45,74,0,1,0,0,1,0,0,0,0,0,0,0,0,.94999999,1,52.32,63.200001,27.200001,.244762,.15555599,0,3,3,35,0,1,0,164.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
